zone_order,level_order,stage,level_name,zone,element_id,category,effective_category,zmin
1,1,1002020000000447923,GF,ZONE_ALL,447923,Structural Columns,COLUMN,0.0
1,1,1002020000000447924,GF,ZONE_ALL,447924,Structural Columns,COLUMN,0.0
1,1,1002020000000447925,GF,ZONE_ALL,447925,Structural Columns,COLUMN,0.0
1,1,1002020000000447926,GF,ZONE_ALL,447926,Structural Columns,COLUMN,0.0
1,1,1002020000000456317,GF,ZONE_ALL,456317,Structural Columns,COLUMN,0.0
1,1,1002039999262459949,GF,ZONE_ALL,459949,Floors,SLAB,-0.738188976377
1,2,1003020009843456743,FF,ZONE_ALL,456743,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456744,FF,ZONE_ALL,456744,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456745,FF,ZONE_ALL,456745,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456746,FF,ZONE_ALL,456746,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456747,FF,ZONE_ALL,456747,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456748,FF,ZONE_ALL,456748,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456749,FF,ZONE_ALL,456749,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456750,FF,ZONE_ALL,456750,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456751,FF,ZONE_ALL,456751,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456752,FF,ZONE_ALL,456752,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456753,FF,ZONE_ALL,456753,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456754,FF,ZONE_ALL,456754,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456755,FF,ZONE_ALL,456755,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456756,FF,ZONE_ALL,456756,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456757,FF,ZONE_ALL,456757,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456758,FF,ZONE_ALL,456758,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456759,FF,ZONE_ALL,456759,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456760,FF,ZONE_ALL,456760,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456761,FF,ZONE_ALL,456761,Structural Columns,COLUMN,9.84251968504
1,2,1003020009843456762,FF,ZONE_ALL,456762,Structural Columns,COLUMN,9.84251968504
1,2,1003030007874451745,FF,ZONE_ALL,451745,Structural Framing,BEAM,7.87401574803
1,2,1003030007874451807,FF,ZONE_ALL,451807,Structural Framing,BEAM,7.87401574803
1,2,1003030007874451833,FF,ZONE_ALL,451833,Structural Framing,BEAM,7.87401574803
1,2,1003030007874451859,FF,ZONE_ALL,451859,Structural Framing,BEAM,7.87401574803
1,2,1003030007874451910,FF,ZONE_ALL,451910,Structural Framing,BEAM,7.87401574803
1,2,1003030007874451938,FF,ZONE_ALL,451938,Structural Framing,BEAM,7.87401574803
1,2,1003030007874452003,FF,ZONE_ALL,452003,Structural Framing,BEAM,7.87401574803
1,2,1003030007874452037,FF,ZONE_ALL,452037,Structural Framing,BEAM,7.87401574803
1,2,1003030007874452074,FF,ZONE_ALL,452074,Structural Framing,BEAM,7.87401574803
1,2,1003040009350452128,FF,ZONE_ALL,452128,Structural Foundations,SLAB,9.35039370079
1,3,1004020019685459352,SF,ZONE_ALL,459352,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459353,SF,ZONE_ALL,459353,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459354,SF,ZONE_ALL,459354,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459355,SF,ZONE_ALL,459355,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459356,SF,ZONE_ALL,459356,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459357,SF,ZONE_ALL,459357,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459358,SF,ZONE_ALL,459358,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459359,SF,ZONE_ALL,459359,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459360,SF,ZONE_ALL,459360,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459361,SF,ZONE_ALL,459361,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459362,SF,ZONE_ALL,459362,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459363,SF,ZONE_ALL,459363,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459364,SF,ZONE_ALL,459364,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459365,SF,ZONE_ALL,459365,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459366,SF,ZONE_ALL,459366,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459367,SF,ZONE_ALL,459367,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459368,SF,ZONE_ALL,459368,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459369,SF,ZONE_ALL,459369,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459370,SF,ZONE_ALL,459370,Structural Columns,COLUMN,19.6850393701
1,3,1004020019685459371,SF,ZONE_ALL,459371,Structural Columns,COLUMN,19.6850393701
1,3,1004030017717456967,SF,ZONE_ALL,456967,Structural Framing,BEAM,17.7165354331
1,3,1004030017717456987,SF,ZONE_ALL,456987,Structural Framing,BEAM,17.7165354331
1,3,1004030017717457013,SF,ZONE_ALL,457013,Structural Framing,BEAM,17.7165354331
1,3,1004030017717457035,SF,ZONE_ALL,457035,Structural Framing,BEAM,17.7165354331
1,3,1004030017717457091,SF,ZONE_ALL,457091,Structural Framing,BEAM,17.7165354331
1,3,1004030017717457127,SF,ZONE_ALL,457127,Structural Framing,BEAM,17.7165354331
1,3,1004030017717457155,SF,ZONE_ALL,457155,Structural Framing,BEAM,17.7165354331
1,3,1004030017717457195,SF,ZONE_ALL,457195,Structural Framing,BEAM,17.7165354331
1,3,1004030017717457219,SF,ZONE_ALL,457219,Structural Framing,BEAM,17.7165354331
1,3,1004040019193457649,SF,ZONE_ALL,457649,Structural Foundations,SLAB,19.1929133858
1,4,1005030027559459511,TF,ZONE_ALL,459511,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459551,TF,ZONE_ALL,459551,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459587,TF,ZONE_ALL,459587,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459607,TF,ZONE_ALL,459607,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459643,TF,ZONE_ALL,459643,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459682,TF,ZONE_ALL,459682,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459718,TF,ZONE_ALL,459718,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459754,TF,ZONE_ALL,459754,Structural Framing,BEAM,27.5590551181
1,4,1005030027559459807,TF,ZONE_ALL,459807,Structural Framing,BEAM,27.5590551181
1,4,1005040029035459865,TF,ZONE_ALL,459865,Structural Foundations,SLAB,29.0354330709
