element_id,category,level_name,phase_created
459371,Structural Columns,SF,30_L3_Verticals
459511,Structural Framing,TF,31_L3_Horizontals
459551,Structural Framing,TF,31_L3_Horizontals
459587,Structural Framing,TF,31_L3_Horizontals
459607,Structural Framing,TF,31_L3_Horizontals
459643,Structural Framing,TF,31_L3_Horizontals
459682,Structural Framing,TF,31_L3_Horizontals
459718,Structural Framing,TF,31_L3_Horizontals
459754,Structural Framing,TF,31_L3_Horizontals
459807,Structural Framing,TF,31_L3_Horizontals
459865,Structural Foundations,TF,31_L3_Horizontals
