zone_order,level_order,stage,level_name,zone,element_id,category,effective_category,zmin
999,0,99900036020,Foundation,UNZONED,439360,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036020,Foundation,UNZONED,439370,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036021,Foundation,UNZONED,439361,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036021,Foundation,UNZONED,439371,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036022,Foundation,UNZONED,439362,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036022,Foundation,UNZONED,439372,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036023,Foundation,UNZONED,439363,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036023,Foundation,UNZONED,439373,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036024,Foundation,UNZONED,439364,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036024,Foundation,UNZONED,439374,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036025,Foundation,UNZONED,439365,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036025,Foundation,UNZONED,439375,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036026,Foundation,UNZONED,439356,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036026,Foundation,UNZONED,439366,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036027,Foundation,UNZONED,439357,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036027,Foundation,UNZONED,439367,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036028,Foundation,UNZONED,439358,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036028,Foundation,UNZONED,439368,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036029,Foundation,UNZONED,439359,Structural Foundations,FOOTING,-6.39763779528
999,0,99900036029,Foundation,UNZONED,439369,Structural Foundations,FOOTING,-6.39763779528
999,0,99900050790,Foundation,UNZONED,438980,Structural Columns,COLUMN,-4.92125984252
999,0,99900050790,Foundation,UNZONED,438990,Structural Columns,COLUMN,-4.92125984252
999,0,99900050791,Foundation,UNZONED,438981,Structural Columns,COLUMN,-4.92125984252
999,0,99900050791,Foundation,UNZONED,438991,Structural Columns,COLUMN,-4.92125984252
999,0,99900050792,Foundation,UNZONED,438982,Structural Columns,COLUMN,-4.92125984252
999,0,99900050792,Foundation,UNZONED,438992,Structural Columns,COLUMN,-4.92125984252
999,0,99900050793,Foundation,UNZONED,438983,Structural Columns,COLUMN,-4.92125984252
999,0,99900050793,Foundation,UNZONED,438993,Structural Columns,COLUMN,-4.92125984252
999,0,99900050794,Foundation,UNZONED,438984,Structural Columns,COLUMN,-4.92125984252
999,0,99900050794,Foundation,UNZONED,438994,Structural Columns,COLUMN,-4.92125984252
999,0,99900050795,Foundation,UNZONED,438975,Structural Columns,COLUMN,-4.92125984252
999,0,99900050795,Foundation,UNZONED,438985,Structural Columns,COLUMN,-4.92125984252
999,0,99900050796,Foundation,UNZONED,438976,Structural Columns,COLUMN,-4.92125984252
999,0,99900050796,Foundation,UNZONED,438986,Structural Columns,COLUMN,-4.92125984252
999,0,99900050797,Foundation,UNZONED,438977,Structural Columns,COLUMN,-4.92125984252
999,0,99900050797,Foundation,UNZONED,438987,Structural Columns,COLUMN,-4.92125984252
999,0,99900050798,Foundation,UNZONED,438978,Structural Columns,COLUMN,-4.92125984252
999,0,99900050798,Foundation,UNZONED,438988,Structural Columns,COLUMN,-4.92125984252
999,0,99900050799,Foundation,UNZONED,438979,Structural Columns,COLUMN,-4.92125984252
999,0,99900050799,Foundation,UNZONED,438989,Structural Columns,COLUMN,-4.92125984252
999,1,99900100000,GF,UNZONED,447470,Structural Columns,COLUMN,0.0
999,1,99900100000,GF,UNZONED,447690,Structural Columns,COLUMN,0.0
999,1,99900100001,GF,UNZONED,447691,Structural Columns,COLUMN,0.0
999,1,99900100002,GF,UNZONED,447692,Structural Columns,COLUMN,0.0
999,1,99900100002,GF,UNZONED,447852,Structural Columns,COLUMN,0.0
999,1,99900100002,GF,UNZONED,447892,Structural Columns,COLUMN,0.0
999,1,99900100003,GF,UNZONED,447693,Structural Columns,COLUMN,0.0
999,1,99900100003,GF,UNZONED,447853,Structural Columns,COLUMN,0.0
999,1,99900100003,GF,UNZONED,447893,Structural Columns,COLUMN,0.0
999,1,99900100003,GF,UNZONED,447923,Structural Columns,COLUMN,0.0
999,1,99900100004,GF,UNZONED,447854,Structural Columns,COLUMN,0.0
